main.py --name=runs/googlenet/ --dataset=CIFAR10 --lr=0.001 --lr-decay-every=5 --momentum=0.9 --epochs=30 --batch-size=128 --pruning=True --seed=0 --model=googlenet --mgpu=False --group_wd_coeff=1e-8 --wd=0.0 --tensorboard=True --pruning-method=22 --data=/data/cifar-10-batches-py/ --no_grad_clip=True
network structure
Total pruning layers: 0
pruning_engine.load_mask(): did not find mask file, will load nothing
connect_gates_with_parameters_for_flops only supports resnet for now
learning rate adjusted: 0.001 1
Epoch: [1][0/390]	Time 1.959 (1.959)	Loss 8.9382 (8.9382)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [1][10/390]	Time 0.214 (0.265)	Loss 7.9059 (8.4844)	Prec@1 0.000 (0.142)	Prec@5 1.562 (0.781)
Epoch: [1][20/390]	Time 0.212 (0.184)	Loss 6.3130 (7.7527)	Prec@1 3.125 (0.632)	Prec@5 8.594 (2.753)
Epoch: [1][30/390]	Time 0.211 (0.156)	Loss 4.8971 (7.1101)	Prec@1 15.625 (2.319)	Prec@5 40.625 (8.191)
Epoch: [1][40/390]	Time 0.214 (0.141)	Loss 4.1391 (6.5082)	Prec@1 20.312 (5.469)	Prec@5 56.250 (17.302)
Epoch: [1][50/390]	Time 0.212 (0.132)	Loss 3.2628 (5.9552)	Prec@1 27.344 (9.360)	Prec@5 79.688 (26.991)
Epoch: [1][60/390]	Time 0.213 (0.126)	Loss 2.6156 (5.4755)	Prec@1 35.938 (12.449)	Prec@5 77.344 (34.798)
Epoch: [1][70/390]	Time 0.213 (0.122)	Loss 2.5319 (5.0801)	Prec@1 31.250 (15.053)	Prec@5 84.375 (41.010)
Epoch: [1][80/390]	Time 0.212 (0.118)	Loss 2.2103 (4.7466)	Prec@1 35.156 (17.390)	Prec@5 81.250 (46.084)
Epoch: [1][90/390]	Time 0.212 (0.116)	Loss 2.0959 (4.4639)	Prec@1 35.938 (19.454)	Prec@5 83.594 (50.446)
Epoch: [1][100/390]	Time 0.213 (0.114)	Loss 1.7529 (4.2251)	Prec@1 42.969 (21.202)	Prec@5 91.406 (54.061)
Epoch: [1][110/390]	Time 0.213 (0.112)	Loss 1.8509 (4.0178)	Prec@1 40.625 (22.910)	Prec@5 89.844 (57.186)
Epoch: [1][120/390]	Time 0.213 (0.111)	Loss 1.7498 (3.8397)	Prec@1 39.844 (24.232)	Prec@5 86.719 (59.762)
Epoch: [1][130/390]	Time 0.213 (0.110)	Loss 1.6795 (3.6812)	Prec@1 47.656 (25.763)	Prec@5 89.844 (61.963)
Epoch: [1][140/390]	Time 0.215 (0.109)	Loss 1.7222 (3.5425)	Prec@1 42.969 (27.083)	Prec@5 91.406 (63.946)
